replicate,A_rgb_only__auroc,A_rgb_only__pr_auc,A_rgb_only__f1_at_locked_threshold,A_rgb_only__false_match_rate_at_locked_90_recall_threshold,A_rgb_only__achieved_recall_at_locked_90_recall_threshold,B_rgb_2d__auroc,B_rgb_2d__pr_auc,B_rgb_2d__f1_at_locked_threshold,B_rgb_2d__false_match_rate_at_locked_90_recall_threshold,B_rgb_2d__achieved_recall_at_locked_90_recall_threshold,C_rgb_2d_3d__auroc,C_rgb_2d_3d__pr_auc,C_rgb_2d_3d__f1_at_locked_threshold,C_rgb_2d_3d__false_match_rate_at_locked_90_recall_threshold,C_rgb_2d_3d__achieved_recall_at_locked_90_recall_threshold,geometry_only__auroc,geometry_only__pr_auc,geometry_only__f1_at_locked_threshold,geometry_only__false_match_rate_at_locked_90_recall_threshold,geometry_only__achieved_recall_at_locked_90_recall_threshold
830,0.724509157509,0.740066312912,0.655268022181,0.576007326007,0.823,0.848614468864,0.808468421224,0.775453277545,0.284798534799,0.828,0.906389194139,0.895098431252,0.805761676124,0.237179487179,0.867,0.895495421245,0.876414325299,0.813786929275,0.284798534799,0.906
831,0.725996360328,0.722971515517,0.655268022181,0.580527752502,0.835,0.797979981802,0.757163359737,0.733475479744,0.438580527753,0.856,0.862577797998,0.852696354678,0.75799086758,0.343949044586,0.846,0.830521383076,0.804756011548,0.756210526316,0.42220200182,0.892
832,0.751553470919,0.760048642509,0.681453515809,0.548780487805,0.838,0.859786116323,0.829787294464,0.779053743684,0.303939962477,0.846,0.914772983114,0.908762420303,0.81220043573,0.24296435272,0.887,0.890565666041,0.873586344442,0.815568332596,0.30487804878,0.919
833,0.734925541942,0.741239238194,0.667937112911,0.563619227144,0.836,0.84885202639,0.832834217522,0.761313220941,0.37040527804,0.857,0.903369462771,0.901839087594,0.799481417459,0.274269557022,0.883,0.882592836946,0.863526945649,0.810503282276,0.326107445806,0.918
834,0.745029107981,0.752933870966,0.679069767442,0.566197183099,0.85,0.854811267606,0.833169814096,0.772482014388,0.33896713615,0.856,0.903938967136,0.900052687319,0.798966853207,0.272300469484,0.888,0.878631924883,0.859707463331,0.804376367615,0.331455399061,0.915
835,0.811217218543,0.847027921119,0.757928118393,0.407947019868,0.848,0.862556291391,0.888535357421,0.813655761024,0.331125827815,0.856,0.925168211921,0.942741779167,0.86066697122,0.23178807947,0.887,0.891670198675,0.908046294129,0.857539315449,0.301986754967,0.923
836,0.73866251298,0.755331508869,0.678127984718,0.555555555556,0.832,0.810021806854,0.777969033496,0.768115942029,0.369678089304,0.846,0.866788161994,0.871678282188,0.788224956063,0.293873312565,0.815,0.839273104881,0.833027924209,0.77628032345,0.36240913811,0.858
837,0.745455949137,0.738911871887,0.677404509894,0.573115349682,0.852,0.833666666667,0.807696600365,0.748471615721,0.39055404178,0.854,0.89410808356,0.8847669053,0.780672268908,0.304268846503,0.885,0.862073569482,0.839447300687,0.78094427903,0.380563124432,0.914
838,0.740941872982,0.767015139086,0.6884765625,0.547900968784,0.828,0.82875780409,0.812717718503,0.772977941176,0.357373519914,0.838,0.899093649085,0.904991046657,0.817375886525,0.2691065662,0.86,0.879435952637,0.873350043214,0.817040358744,0.330462863294,0.904
839,0.783240896359,0.838561178441,0.748971193416,0.466386554622,0.849,0.858843137255,0.879745923288,0.821997105644,0.306722689076,0.848,0.917359943978,0.939308933662,0.865313653137,0.245098039216,0.883,0.888985994398,0.903541948219,0.862197392924,0.301120448179,0.921
840,0.667406779661,0.661654145023,0.621680452764,0.636931311329,0.837,0.799636039251,0.74929301527,0.74077367719,0.366636931311,0.824,0.852550401427,0.828467313562,0.767215885087,0.314005352364,0.836,0.859019625335,0.829466127306,0.783568904594,0.325602140946,0.88
841,0.777192234848,0.800501256368,0.701754385965,0.541666666667,0.851,0.851077651515,0.837649059719,0.766651962947,0.374053030303,0.865,0.913950757576,0.912700298839,0.792739552554,0.295454545455,0.904,0.870477272727,0.85189323885,0.787674124103,0.400568181818,0.932
