dataset,stratum_variable,stratum_level,system,pairs,positives,negatives,auroc,pr_auc,false_match_rate,recall,threshold_source
movi_e,minimum_visibility,high,B_rgb_2d,607,360,247,0.9912505623031939,0.9941869946479287,0.07692307692307693,0.9638888888888889,development_locked_90_recall
movi_e,minimum_visibility,high,C_camera_geometry,607,360,247,0.9960526315789474,0.9973888905087396,0.016194331983805668,0.9472222222222222,development_locked_90_recall
movi_e,minimum_visibility,high,D_pose_aligned_geometry,607,360,247,0.9938146648672964,0.9961560018171145,0.012145748987854251,0.9388888888888889,development_locked_90_recall
movi_e,minimum_visibility,high,G_camera_geometry_only,607,360,247,0.9910481331533963,0.9940084581430699,0.02834008097165992,0.9444444444444444,development_locked_90_recall
movi_e,minimum_visibility,high,G_pose_aligned_geometry_only,607,360,247,0.9889901034637877,0.9926014688669618,0.016194331983805668,0.9277777777777778,development_locked_90_recall
movi_e,minimum_visibility,high,P_pose_only,607,360,247,0.475849077822762,0.5716591583472082,0.8906882591093117,0.8638888888888889,development_locked_90_recall
movi_e,minimum_visibility,high,S_shuffled_pose,607,360,247,0.9951641925326136,0.9967540293605597,0.02834008097165992,0.95,development_locked_90_recall
movi_e,minimum_visibility,low,A_rgb,717,308,409,0.9350093671609564,0.943130549340503,0.23471882640586797,0.9123376623376623,development_locked_90_recall
movi_e,minimum_visibility,low,B_rgb_2d,717,308,409,0.9750103197535961,0.976107573227787,0.029339853300733496,0.8863636363636364,development_locked_90_recall
movi_e,minimum_visibility,low,C_camera_geometry,717,308,409,0.9877591845807004,0.9864844388831147,0.007334963325183374,0.8961038961038961,development_locked_90_recall
movi_e,minimum_visibility,low,D_pose_aligned_geometry,717,308,409,0.9939351601943288,0.9935096813053219,0.004889975550122249,0.9123376623376623,development_locked_90_recall
movi_e,minimum_visibility,low,G_camera_geometry_only,717,308,409,0.9854967770615692,0.9843051963729873,0.017114914425427872,0.8993506493506493,development_locked_90_recall
movi_e,minimum_visibility,low,G_pose_aligned_geometry_only,717,308,409,0.9942923824341917,0.9936116861770513,0.009779951100244499,0.9188311688311688,development_locked_90_recall
movi_e,minimum_visibility,low,P_pose_only,717,308,409,0.4945622836820881,0.44775239918210086,0.8899755501222494,0.8863636363636364,development_locked_90_recall
movi_e,minimum_visibility,low,S_shuffled_pose,717,308,409,0.9868304067570571,0.9856511366386426,0.017114914425427872,0.9155844155844156,development_locked_90_recall
movi_e,minimum_visibility,medium,A_rgb,676,332,344,0.9484799663771365,0.9570158491755693,0.11046511627906977,0.8433734939759037,development_locked_90_recall
movi_e,minimum_visibility,medium,B_rgb_2d,676,332,344,0.9783027458671897,0.9789653883435168,0.040697674418604654,0.8524096385542169,development_locked_90_recall
movi_e,minimum_visibility,medium,C_camera_geometry,676,332,344,0.989851849257495,0.9897846433093114,0.005813953488372093,0.8704819277108434,development_locked_90_recall
movi_e,minimum_visibility,medium,D_pose_aligned_geometry,676,332,344,0.9941335107873355,0.9941579081036256,0.005813953488372093,0.8945783132530121,development_locked_90_recall
movi_e,minimum_visibility,medium,G_camera_geometry_only,676,332,344,0.984712104230877,0.9845827769985098,0.020348837209302327,0.8795180722891566,development_locked_90_recall
movi_e,minimum_visibility,medium,G_pose_aligned_geometry_only,676,332,344,0.991594284113197,0.9915035930966718,0.023255813953488372,0.8975903614457831,development_locked_90_recall
movi_e,minimum_visibility,medium,P_pose_only,676,332,344,0.528855246567666,0.5081578851775681,0.8430232558139535,0.8493975903614458,development_locked_90_recall
movi_e,minimum_visibility,medium,S_shuffled_pose,676,332,344,0.9881006584477444,0.9885047148762605,0.01744186046511628,0.858433734939759,development_locked_90_recall
